,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
codigo_ibg,-0.21004631593944584,-0.10780094980061712,0.08208643032668493,0.08173101524728693,-0.12993989194455577,-0.1917273543620437,0.12703493664945936,0.09515802030716641,0.023227965330103302,-0.03170173531186947,0.0037743893803695487,-0.03067321275797586,0.05358794932563173,-0.06109826391272958,0.021079511823219477,0.11010426299767098,0.07427499272942005,0.10247026340281584,-0.1504853129310731,0.22593559371457597,-0.036106082615009354,-0.02200718220218904,0.2746787409544775,-0.09806003037934928,-0.12603852015655528,-0.1432746361620916,0.14548417147826656,0.3206296100359339,-0.14578510713095913,-0.3713941171789245,-0.12934351425120977,0.32797702005838814,0.06329607762591152,-0.15136353415192716,-0.11652267203179655,-0.0621916435184715,-0.12037239973082775,0.01938376298870023,0.07922450707241165,-0.2939987243000218,0.008359259891362325,-0.12193154786945849,-0.085974854409447,0.1887714436990586,-0.0004874476716849832,0.0,0.0,0.0,-0.0,-0.0
uf,-0.17004189942221593,-0.1637888240724597,-0.09684066129642,-0.018796828666328078,0.02208925083079566,-0.055578741494456706,0.08057451922863351,0.20568999159254753,-0.011639238291844654,-0.12150691189965414,-0.13325191161468913,0.2381214114690967,-0.039530268824584124,0.030508310669041614,0.15650271919993353,0.09891890867367613,0.1258576079718756,-0.10321689862563507,0.07085225212114889,-0.05891212572196667,0.11152212771973759,-0.002563260500111708,-0.012147839086249862,-0.11965518490358013,0.32711275343482665,0.27921233076947627,0.4578282317762381,-0.22034629339972234,0.09878607290908442,-0.04779269551288971,-0.3699851793085862,-0.204081007988974,0.07910466047956966,0.02743777987088774,0.03130717931520189,-0.006513790425688563,-0.06135197836557826,0.022542936632778073,0.14969243515640854,0.0011515573503616816,0.0520415305771967,-0.1463134617315317,-0.010495291495511892,-0.009522195336357828,0.03734322092142529,2.140480829671658e-14,1.7478925679481694e-16,2.0951609137484006e-14,-7.922448555416575e-15,2.66510788313241e-14
regions,0.15570646905248312,-0.06255970253690121,-0.07301112555929695,-0.024445848195041645,-0.1595617718358101,-0.21526819591743135,-0.0010170950068270912,-0.007778142721487383,0.01108542155756968,0.2635978049559077,0.17919320760944699,-0.44987246000238906,0.04829772230940313,-0.023200921025954592,-0.277145093347064,-0.02346045540509244,0.137103062819443,0.1937464232386979,-0.2468178350734994,-0.21174518375082083,0.2431564848176694,0.10518360613898668,-0.15307537448099814,-0.05811302834035367,0.4251305178754605,0.035430999079345674,0.08350346095892944,-0.01811422394370987,0.07541795122330726,-0.1680069118870774,-0.019161647289866753,0.04079866266064344,-0.005082824758830333,0.06737755985550953,-0.057237848557942755,0.015807300066194577,0.03830824106230091,0.03680401203473025,-0.11838645431927183,-0.0009530860700626855,-0.017423321164229462,-0.0028336451071080183,-0.0010691693589053644,0.008282044072232373,0.009028572806977834,3.2971176913622305e-15,6.374974199152507e-16,1.8870150487550096e-15,2.355835021961723e-15,4.975988435566366e-15
pib,-0.012593388534519542,-0.014135263514224897,0.01528015487688759,-0.004908889778749427,0.17934585623125593,-0.22413629746014851,-0.01955207807572443,0.04642201994554038,0.4015719782260385,-0.2211004142163635,-0.3285361074808185,-0.29064649328857367,-0.4412856373996196,0.4888927403904097,0.043545358607701076,-0.06906073118159453,-0.12985358525269886,0.2111632464251069,0.040272849463118716,-0.016614590710542325,0.026237609401877464,0.04878005821146079,0.038111143236857416,0.00898188191622107,-0.029976128485314033,0.017811344076231642,-0.028933913594097343,-0.0016734717724423839,0.01878750192122948,-0.00953110402452433,0.01829323983366658,0.008288526615829846,-0.0032947592130052124,-0.006203600778756988,0.013702535792613936,-0.0038683610057209977,-0.0010093419612349115,-0.013149301995443643,0.006934739574263056,-0.010174293819941772,-0.005730020327169344,0.0007827079311605854,0.00114479067799926,-0.001865958786254495,-0.0018911843745336979,-3.0574450911011805e-16,-2.894405777117389e-17,-1.5190886012459513e-16,-8.016405813403032e-16,-3.1411586621535635e-16
species,-0.040437456905205,0.06656436933638586,0.12232233282639231,0.06178282926940195,0.1925281292897965,0.10880945122700916,0.018620601450335606,0.013110453371584448,-0.1815778752909718,0.369004000076681,0.4540229216117952,0.08797030530573849,-0.2826222124757357,0.38343309442703366,0.4050550279549407,0.027934683218486366,0.09283775403056278,0.05567994990741103,-0.1638884311686585,0.04192212132174828,-0.09481522730249393,-0.024388842182993628,0.19067932590037057,0.016521384675650213,0.1955384609613534,-0.09316619802741218,-0.07882894434101241,-0.016258744440109076,-0.014551298053713389,-0.00721091422699678,-0.06554710048933088,-0.022384793035054074,-0.02690848529508904,0.0417810443165501,0.00020371371447795857,-0.004824582690051172,0.0020857640088207843,-0.05020280853798661,0.002778144933428962,-0.007801688652261064,0.024716607197992086,0.013393326996218188,0.0052799146994505,-0.00714870618426162,0.003164957300628375,1.0754022735355376e-15,-2.9468903208150053e-15,8.56536616857657e-17,2.5903775812263183e-15,-2.0034917408496803e-16
PRD.mean,0.010877502634680609,0.23476660505448152,0.045628562012354455,0.10019718233535391,0.09535073132932353,-0.0041578877457341635,0.1804253720209406,-0.28420245595023313,-0.06139789663205285,-0.057949047526164796,0.0308228634721745,-0.17423244524095885,0.06167144198884396,0.0075017618854133885,0.03158883416118198,-0.2668307269804301,-0.0882515087160411,-0.15359704328067245,0.04422978297866404,0.16030005724442706,0.002213878312959156,0.026460128397750114,0.08402574853224373,-0.20723548253668653,0.017724990474680218,0.018851191024307525,0.22492457060319093,-0.14980305073316555,0.033980545148783466,-0.07613606977198262,0.04398572684685048,0.034858636216412525,-0.002614631565429416,-0.012241407810773867,0.008070320895914114,0.005624408219026024,0.029499230686117407,-0.004399518802391267,-0.010710209075291811,0.010093063226880082,-0.02396565790985241,-0.01169917484553515,-0.0018842041292791692,-0.009507236364165977,-0.0028851810511349688,0.2882258013606193,-0.019406934759710587,0.2833275526042462,0.05270620161244014,-0.5774918289985885
FC_m,0.15277242355413864,0.12702864137174705,0.2260705649153267,-0.05623300070933613,0.01170407290611127,0.05301944604608289,0.09082005085123308,0.3371903502480802,0.07304969221692979,-0.10404265998164723,0.08504038642307689,-0.0021379524584725458,0.07567692848984246,-0.035804569616318165,0.10161012737788956,-0.05037584494788797,0.11529596724308651,0.04460595985926254,0.05356910899491467,0.16936225782659875,0.21531336098362028,0.01641386074621331,-0.018870750517828508,0.10095112586446632,-0.050601730799218,-0.13831973031783132,0.08886751605934344,0.15394863917882834,0.6906975303414998,0.006930092339891625,0.059137898331626644,0.025209418390549285,-0.1321189482469237,-0.14662354943597913,0.15119529906030058,0.14049894583577296,0.0880647820641017,-0.041306133253794786,-0.06157815717473866,-0.04190708014736298,0.05233638588847927,-0.014624582017039494,0.004892370451278874,0.0020733265273945234,-4.203263915924151e-06,4.923965236147814e-15,8.239844049632345e-16,4.7834966921373535e-15,2.614151606210542e-15,4.5933544068522584e-15
FC2km,0.16319274020326072,0.13280743301388442,0.22679226186998966,-0.0799516780837035,0.0034831092823742788,0.06601580807956037,0.08972809898338388,0.3079964983753104,0.07417831152395155,-0.119103016757922,0.06989393953491024,-0.04131690735683523,0.049842647502379225,-0.04869360862863558,0.1059331247098666,-0.01152014978223152,0.07765947985318762,0.07642997623357702,0.023377692223474647,0.11486359655384597,0.15609226693762662,0.009678748221221964,-0.04559038004121761,-0.0394635193428264,-0.049703680991718006,-0.08580833606436503,0.05755464122869234,-0.09236505987853627,-0.13852094936746992,0.02675962472352089,0.16471878789978595,0.03539813018641952,0.34042247063318887,0.49571207624814617,-0.31148369054997704,-0.30570414973574767,-0.15077400252306167,0.11529990384889605,0.10046344466772164,0.15073227561329153,0.020515478621209355,0.05179435838473182,0.004327433160214423,-0.01835346482705706,0.00787708452052237,-7.24696491763993e-15,-1.6409400688644045e-14,-7.404887991704502e-15,1.6415675395147362e-15,-8.020534265034219e-15
FC500m,0.17383468519999987,0.12913895070447,0.1933330114683371,-0.09886749995801676,-0.012361888859857367,0.06768787719216264,0.07670108724937495,0.286702186297148,0.07927570538807728,-0.13890175655754566,0.06832139423443712,-0.053114536138916486,0.0518033784978238,-0.054443165194778466,0.07418099361199972,0.006462634839842874,0.06447180764499054,0.08002773791968058,0.009523697262390968,0.07861409365753766,0.15310510245423223,0.06877205130250279,-0.10646925203449883,-0.1207220520810865,0.07464073128325609,-0.1300673595531679,-0.004740547552402206,-0.21623688425211285,-0.5894414575610212,0.11082834968377442,-0.0757136616684839,-0.08395586672023257,-0.24811021607044162,-0.30539360505317614,0.12103740808744612,0.1934003188129791,0.14360648705848839,-0.07418219286459853,-0.04014671738161625,-0.13647526754368702,-0.0422961235441843,-0.029414147915850408,-0.007425808525211409,0.015355719636445202,0.002004766782491444,5.346837390348122e-15,1.3848596121689009e-14,3.0699714129985216e-15,5.060213448614017e-16,5.9371095660196824e-15
PollinatorD,0.010877502634680609,0.23476660505448152,0.04562856201235437,0.10019718233535385,0.09535073132932363,-0.004157887745734198,0.1804253720209406,-0.2842024559502335,-0.06139789663205315,-0.057949047526165004,0.03082286347217439,-0.17423244524095818,0.061671441988844625,0.007501761885413333,0.03158883416118155,-0.2668307269804303,-0.08825150871604084,-0.15359704328067178,0.044229782978664665,0.16030005724442717,0.0022138783129589095,0.02646012839775,0.08402574853224351,-0.2072354825366904,0.017724990474679996,0.018851191024310036,0.2249245706031845,-0.14980305073316147,0.03398054514878341,-0.0761360697719789,0.04398572684684663,0.03485863621641088,-0.0026146315654336505,-0.01224140781076706,0.008070320895921176,0.005624408219008019,0.02949923068612814,-0.004399518802378281,-0.010710209075291292,0.010093063226853658,-0.023965657909805742,-0.011699174845501542,-0.0018842041293038257,-0.009507236364183408,-0.0028851810512390925,-0.2882258013606186,0.019406934759723694,-0.28332755260424164,-0.05270620161244709,0.5774918289985956
